player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Kaapo Kakko #84,F,0.044,0.042,0.002,0.0,35,54,3.05,2.78,1061,T3
Rickard Rakell #67,F,0.045,0.04,0.002,0.002,57,93,4.44,2.73,1256,T1
Macklin Celebrini #71,F,0.045,0.032,0.013,0.0,45,72,4.09,2.87,1057,T3
Tyler Bertuzzi #59,F,0.045,0.044,0.001,0.0,42,71,4.01,2.88,1064,T3
Matty Beniers #10,F,0.045,0.028,0.017,0.0,39,61,3.06,2.48,1196,T1
Nathan MacKinnon #29,F,0.045,0.04,0.005,0.0,42,67,2.74,2.51,1468,T1
Michael Rasmussen #27,F,0.045,0.039,0.006,0.0,27,53,3.69,2.41,862,T4
Fabian Zetterlund #20,F,0.045,0.041,0.004,0.0,37,52,2.57,2.84,1216,T1
Dylan Larkin #71,F,0.045,0.029,0.005,0.012,47,85,4.29,2.49,1188,T2
Lucas Raymond #23,F,0.045,0.042,0.003,0.0,43,74,3.95,2.42,1124,T2
Ridly Greig #71,F,0.045,0.031,0.014,0.0,41,77,4.23,2.46,1093,T2
Bryan Rust #17,F,0.045,0.04,0.005,0.0,54,100,5.76,3.18,1041,T3
Ryan Nugent-Hopkins #93,F,0.045,0.015,0.026,0.005,28,70,3.2,2.34,1312,T1
Yanni Gourde #37,F,0.045,0.031,0.005,0.01,27,53,3.71,2.28,858,T4
Aliaksei Protas #21,F,0.046,0.031,0.014,0.0,36,59,3.1,2.57,1143,T2
Ondrej Palat #18,F,0.046,0.035,0.008,0.004,38,46,2.7,2.7,1021,T3
Danton Heinen #43,F,0.046,0.031,0.01,0.004,32,45,2.95,2.49,915,T4
Peyton Krebs #19,F,0.046,0.034,0.012,0.0,31,54,3.21,2.58,1009,T3
Alex Tuch #89,F,0.046,0.046,0.0,0.0,38,80,4.41,2.64,1089,T2
Tyler Toffoli #73,F,0.047,0.034,0.0,0.012,45,67,4.0,2.91,1004,T3
Lars Eller #20,F,0.047,0.031,0.016,0.0,27,46,2.71,2.34,1020,T3
Brad Marchand #63,F,0.047,0.043,0.004,0.0,29,61,3.03,2.63,1207,T1
David Pastrnak #88,F,0.047,0.045,0.002,0.0,41,74,3.5,2.52,1268,T1
Troy Terry #19,F,0.047,0.043,0.004,0.0,35,55,2.94,3.07,1121,T2
Brendan Gallagher #11,F,0.047,0.03,0.001,0.016,34,55,3.13,2.65,1055,T3
Jack Quinn #22,F,0.047,0.045,0.003,0.0,33,54,3.63,2.81,893,T4
Casey Mittelstadt #37,F,0.048,0.028,0.019,0.0,46,71,3.76,2.65,1133,T2
Elias Pettersson #40,F,0.048,0.028,0.015,0.005,29,51,3.5,2.17,875,T4
Pius Suter #24,F,0.048,0.031,0.013,0.004,34,65,3.79,2.24,1029,T3
Connor McMichael #24,F,0.048,0.045,0.003,0.0,38,56,2.68,2.84,1252,T1
Zachary L'Heureux #68,F,0.048,0.048,0.0,0.0,25,35,3.11,2.43,676,T4
Leon Draisaitl #29,F,0.048,0.018,0.03,0.0,35,72,2.76,2.42,1565,T1
Cutter Gauthier #61,F,0.049,0.049,0.0,0.0,32,41,2.48,2.98,993,T3
Colton Sissons #10,F,0.049,0.033,0.016,0.0,35,57,4.13,2.23,829,T4
Evgenii Dadonov #63,F,0.049,0.037,0.005,0.007,42,62,3.2,2.56,1163,T2
Marco Rossi #23,F,0.05,0.045,0.005,0.0,32,59,2.76,2.32,1283,T1
Zach Benson #9,F,0.05,0.043,0.006,0.0,33,51,3.37,2.24,909,T4
