Season,TradeID,Date,Trade,Acquiring Team,Asset Type,Asset,Position,Notes
2021-22,2022-03-21-NYR-WPG,2022-03-21,NYR / WPG,NYR,Draft Pick,2023 6th Round,,
2021-22,2022-03-21-NYR-WPG,2022-03-21,NYR / WPG,NYR,Player,Andrew Copp,C,
2021-22,2022-03-21-NYR-WPG,2022-03-21,NYR / WPG,WPG,Draft Pick,2023 5th Round,,
2021-22,2022-03-21-NYR-WPG,2022-03-21,NYR / WPG,WPG,Player,Morgan Barron,C,
2021-22,2022-03-21-NYR-WPG,2022-03-21,NYR / WPG,WPG,Draft Pick,2022 1st Round,,conditional
2021-22,2022-03-21-NYR-WPG,2022-03-21,NYR / WPG,WPG,Draft Pick,2022 2nd Round,,
2021-22,2022-03-21-NYR-PHI,2022-03-21,NYR / PHI,NYR,Player,Justin Braun,RD,
2021-22,2022-03-21-NYR-PHI,2022-03-21,NYR / PHI,PHI,Draft Pick,2023 3rd Round,,
2021-22,2022-03-21-MTL-NJD,2022-03-21,MTL / NJD,MTL,Player,Nate Schnarr,C,
2021-22,2022-03-21-MTL-NJD,2022-03-21,MTL / NJD,NJD,Player,Andrew Hammond,G,
2021-22,2022-03-20-WPG-SEA,2022-03-20,WPG / SEA,WPG,Player,Mason Appleton,RW,
2021-22,2022-03-20-WPG-SEA,2022-03-20,WPG / SEA,SEA,Draft Pick,2023 4th Round,,
2021-22,2022-03-20-VAN-OTT,2022-03-20,VAN / OTT,VAN,Draft Pick,2022 3rd Round,,
2021-22,2022-03-20-VAN-OTT,2022-03-20,VAN / OTT,OTT,Player,Travis Hamonic,RD,
2021-22,2022-03-20-TOR-VAN,2022-03-20,TOR / VAN,TOR,Draft Pick,2022 3rd Round,,
2021-22,2022-03-20-TOR-VAN,2022-03-20,TOR / VAN,VAN,Player,Travis Dermott,LD,
2021-22,2022-03-20-OTT-TBL,2022-03-20,OTT / TBL,OTT,Player,Mathieu Joseph,LW,
2021-22,2022-03-20-OTT-TBL,2022-03-20,OTT / TBL,OTT,Draft Pick,2024 4th Round,,
2021-22,2022-03-20-OTT-TBL,2022-03-20,OTT / TBL,TBL,Player,Nicholas Paul,C,44.5% retained
2021-22,2022-03-20-NSH-SEA,2022-03-20,NSH / SEA,NSH,Player,Jérémy Lauzon,LD,
2021-22,2022-03-20-NSH-SEA,2022-03-20,NSH / SEA,SEA,Draft Pick,2022 2nd Round,,
2021-22,2022-03-20-DET-LAK,2022-03-20,DET / LAK,DET,Draft Pick,2022 7th Round,,
2021-22,2022-03-20-DET-LAK,2022-03-20,DET / LAK,LAK,Player,Troy Stecher,RD,
2021-22,2022-03-20-DAL-UTA,2022-03-20,DAL / UTA,DAL,Player,Scott Wedgewood,G,
2021-22,2022-03-20-DAL-UTA,2022-03-20,DAL / UTA,UTA,Draft Pick,2023 3rd Round,,conditional
2021-22,2022-03-20-BUF-FLA,2022-03-20,BUF / FLA,BUF,Draft Pick,2022 6th Round,,
2021-22,2022-03-20-BUF-FLA,2022-03-20,BUF / FLA,FLA,Player,Robert Hagg,LD,
2021-22,2022-03-20-TOR-SEA,2022-03-20,TOR / SEA,TOR,Player,Mark Giordano,LD,50% retained
2021-22,2022-03-20-TOR-SEA,2022-03-20,TOR / SEA,TOR,Player,Colin Blackwell,RW,
2021-22,2022-03-20-TOR-SEA,2022-03-20,TOR / SEA,SEA,Draft Pick,2024 3rd Round,,
2021-22,2022-03-20-TOR-SEA,2022-03-20,TOR / SEA,SEA,Draft Pick,2023 2nd Round,,
2021-22,2022-03-20-TOR-SEA,2022-03-20,TOR / SEA,SEA,Draft Pick,2022 2nd Round,,
2021-22,2022-03-19-PHI-FLA,2022-03-19,PHI / FLA,PHI,Draft Pick,2023 3rd Round,,
2021-22,2022-03-19-PHI-FLA,2022-03-19,PHI / FLA,PHI,Player,Owen Tippett,RW,
2021-22,2022-03-19-PHI-FLA,2022-03-19,PHI / FLA,PHI,Draft Pick,2024 1st Round,,conditional
2021-22,2022-03-19-PHI-FLA,2022-03-19,PHI / FLA,FLA,Draft Pick,2024 5th Round,,
2021-22,2022-03-19-PHI-FLA,2022-03-19,PHI / FLA,FLA,Player,Connor Bunnaman,C,
2021-22,2022-03-19-PHI-FLA,2022-03-19,PHI / FLA,FLA,Player,Claude Giroux,RW,50% retained
2021-22,2022-03-19-PHI-FLA,2022-03-19,PHI / FLA,FLA,Player,German Rubtsov,C,
2021-22,2022-03-19-BOS-ANA,2022-03-19,BOS / ANA,BOS,Player,Hampus Lindholm,LD,50% retained
2021-22,2022-03-19-BOS-ANA,2022-03-19,BOS / ANA,BOS,Player,Kodie Curran,LD,
2021-22,2022-03-19-BOS-ANA,2022-03-19,BOS / ANA,ANA,Draft Pick,2022 1st Round,,
2021-22,2022-03-19-BOS-ANA,2022-03-19,BOS / ANA,ANA,Player,Urho Vaakanainen,LD,
2021-22,2022-03-19-BOS-ANA,2022-03-19,BOS / ANA,ANA,Draft Pick,2024 2nd Round,,
2021-22,2022-03-19-BOS-ANA,2022-03-19,BOS / ANA,ANA,Player,John Moore,LD,
2021-22,2022-03-19-BOS-ANA,2022-03-19,BOS / ANA,ANA,Draft Pick,2023 2nd Round,,
2021-22,2022-03-19-ANA-MIN,2022-03-19,ANA / MIN,ANA,Draft Pick,2023 3rd Round,,
2021-22,2022-03-19-ANA-MIN,2022-03-19,ANA / MIN,MIN,Player,Nicolas Deslauriers,LW,
2021-22,2022-03-18-CHI-TBL,2022-03-18,CHI / TBL,CHI,Player,Boris Katchouk,C,
2021-22,2022-03-18-CHI-TBL,2022-03-18,CHI / TBL,CHI,Draft Pick,2024 1st Round,,
2021-22,2022-03-18-CHI-TBL,2022-03-18,CHI / TBL,CHI,Player,Taylor Raddysh,RW,
2021-22,2022-03-18-CHI-TBL,2022-03-18,CHI / TBL,CHI,Draft Pick,2023 1st Round,,
2021-22,2022-03-18-CHI-TBL,2022-03-18,CHI / TBL,TBL,Draft Pick,2022 4th Round,,
2021-22,2022-03-18-CHI-TBL,2022-03-18,CHI / TBL,TBL,Draft Pick,2024 4th Round,,
2021-22,2022-03-18-CHI-TBL,2022-03-18,CHI / TBL,TBL,Player,Brandon Hagel,LW,
2021-22,2022-03-16-NYR-FLA,2022-03-16,NYR / FLA,NYR,Player,Frank Vatrano,LW,
2021-22,2022-03-16-NYR-FLA,2022-03-16,NYR / FLA,FLA,Draft Pick,2022 4th Round,,
2021-22,2022-03-16-MTL-FLA,2022-03-16,MTL / FLA,MTL,Player,Ty Smilanic,C,
2021-22,2022-03-16-MTL-FLA,2022-03-16,MTL / FLA,MTL,Draft Pick,2023 1st Round,,
2021-22,2022-03-16-MTL-FLA,2022-03-16,MTL / FLA,MTL,Draft Pick,2022 4th Round,,
2021-22,2022-03-16-MTL-FLA,2022-03-16,MTL / FLA,FLA,Player,Ben Chiarot,LD,50% retained
2021-22,2022-03-16-CGY-SEA,2022-03-16,CGY / SEA,CGY,Player,Calle Järnkrok,RW,50% retained
2021-22,2022-03-16-CGY-SEA,2022-03-16,CGY / SEA,SEA,Draft Pick,2022 2nd Round,,
2021-22,2022-03-16-CGY-SEA,2022-03-16,CGY / SEA,SEA,Draft Pick,2023 3rd Round,,
2021-22,2022-03-16-CGY-SEA,2022-03-16,CGY / SEA,SEA,Draft Pick,2024 7th Round,,
2021-22,2022-03-15-COL-MIN,2022-03-15,COL / MIN,COL,Player,Nico Sturm,C,
2021-22,2022-03-15-COL-MIN,2022-03-15,COL / MIN,MIN,Player,Tyson Jost,LW,
2021-22,2022-03-14-COL-ANA,2022-03-14,COL / ANA,COL,Player,Josh Manson,LD,50% retained
2021-22,2022-03-14-COL-ANA,2022-03-14,COL / ANA,ANA,Draft Pick,2023 2nd Round,,
2021-22,2022-03-14-COL-ANA,2022-03-14,COL / ANA,ANA,Player,Drew Helleson,RD,
2021-22,2022-03-02-MTL-CGY,2022-03-02,MTL / CGY,MTL,Other,Future Considerations,,
2021-22,2022-03-02-MTL-CGY,2022-03-02,MTL / CGY,CGY,Player,Michael McNiven,G,
2021-22,2022-03-02-EDM-SJS,2022-03-02,EDM / SJS,EDM,Other,Future Considerations,,
2021-22,2022-03-02-EDM-SJS,2022-03-02,EDM / SJS,SJS,Player,Alex Stalock,G,
2021-22,2022-02-22-BOS-UTA,2022-02-22,BOS / UTA,BOS,Player,Michael Callahan,LD,
2021-22,2022-02-22-BOS-UTA,2022-02-22,BOS / UTA,UTA,Draft Pick,2024 7th Round,,
2021-22,2022-02-21-TOR-UTA,2022-02-21,TOR / UTA,TOR,Player,Carter Hutton,G,
2021-22,2022-02-21-TOR-UTA,2022-02-21,TOR / UTA,UTA,Other,Future Considerations,,
2021-22,2022-02-19-TOR-UTA,2022-02-19,TOR / UTA,TOR,Player,Ryan Dzingel,C,
2021-22,2022-02-19-TOR-UTA,2022-02-19,TOR / UTA,TOR,Player,Ilya Lyubushkin,RD,
2021-22,2022-02-19-TOR-UTA,2022-02-19,TOR / UTA,UTA,Draft Pick,2025 2nd Round,,
2021-22,2022-02-19-TOR-UTA,2022-02-19,TOR / UTA,UTA,Player,Nick Ritchie,LW,
2021-22,2022-02-14-MTL-CGY,2022-02-14,MTL / CGY,MTL,Player,Tyler Pitlick,RW,
2021-22,2022-02-14-MTL-CGY,2022-02-14,MTL / CGY,MTL,Draft Pick,2022 1st Round,,conditional
2021-22,2022-02-14-MTL-CGY,2022-02-14,MTL / CGY,MTL,Player,Emil Heineman,RW,
2021-22,2022-02-14-MTL-CGY,2022-02-14,MTL / CGY,MTL,Draft Pick,2023 5th Round,,
2021-22,2022-02-14-MTL-CGY,2022-02-14,MTL / CGY,MTL,Draft Pick,2024 4th Round,,conditional
2021-22,2022-02-14-MTL-CGY,2022-02-14,MTL / CGY,CGY,Player,Tyler Toffoli,RW,
2021-22,2022-02-12-MTL-MIN,2022-02-12,MTL / MIN,MTL,Player,Andrew Hammond,G,
2021-22,2022-02-12-MTL-MIN,2022-02-12,MTL / MIN,MIN,Player,Brandon Baddock,LW,
2021-22,2022-02-01-TBL-NSH,2022-02-01,TBL / NSH,TBL,Player,Anthony Richard,RW,
2021-22,2022-02-01-TBL-NSH,2022-02-01,TBL / NSH,NSH,Player,Jimmy Huntington,C,
2021-22,2022-02-01-DAL-TBL,2022-02-01,DAL / TBL,DAL,Player,Alexey Lipanov,C,
2021-22,2022-02-01-DAL-TBL,2022-02-01,DAL / TBL,TBL,Player,Tye Felhaber,LW,
2021-22,2022-01-05-CHI-PIT,2022-01-05,CHI / PIT,CHI,Player,Sam Lafferty,RW,
2021-22,2022-01-05-CHI-PIT,2022-01-05,CHI / PIT,PIT,Player,Alexander Nylander,LW,
2021-22,2021-12-29-STL-MIN,2021-12-29,STL / MIN,STL,Player,Will Bitten,RW,
2021-22,2021-12-29-STL-MIN,2021-12-29,STL / MIN,MIN,Player,Nolan Stevens,C,
2021-22,2021-12-15-STL-NJD,2021-12-15,STL / NJD,STL,Other,Future Considerations,,
2021-22,2021-12-15-STL-NJD,2021-12-15,STL / NJD,NJD,Player,Jon Gillies,G,
2021-22,2021-12-09-TOR-CHI,2021-12-09,TOR / CHI,TOR,Player,Chad Krys,LD,
2021-22,2021-12-09-TOR-CHI,2021-12-09,TOR / CHI,CHI,Player,Kurtis Gabriel,RW,
2021-22,2021-12-02-CHI-BUF,2021-12-02,CHI / BUF,CHI,Other,Future Considerations,,
2021-22,2021-12-02-CHI-BUF,2021-12-02,CHI / BUF,BUF,Player,Malcolm Subban,G,
2021-22,2021-11-30-OTT-NSH,2021-11-30,OTT / NSH,OTT,Other,Future Considerations,,
2021-22,2021-11-30-OTT-NSH,2021-11-30,OTT / NSH,NSH,Player,Kole Sherwood,RW,
2021-22,2021-11-16-TOR-STL,2021-11-16,TOR / STL,TOR,Player,Kyle Clifford,LW,
2021-22,2021-11-16-TOR-STL,2021-11-16,TOR / STL,STL,Other,Future Considerations,,
2021-22,2021-11-04-BUF-VGK,2021-11-04,BUF / VGK,BUF,Draft Pick,2023 2nd Round,,conditional
2021-22,2021-11-04-BUF-VGK,2021-11-04,BUF / VGK,BUF,Draft Pick,2022 1st Round,,conditional
2021-22,2021-11-04-BUF-VGK,2021-11-04,BUF / VGK,BUF,Player,Alex Tuch,RW,
2021-22,2021-11-04-BUF-VGK,2021-11-04,BUF / VGK,BUF,Player,Peyton Krebs,LW,
2021-22,2021-11-04-BUF-VGK,2021-11-04,BUF / VGK,VGK,Player,Jack Eichel,C,
2021-22,2021-11-04-BUF-VGK,2021-11-04,BUF / VGK,VGK,Draft Pick,2023 3rd Round,,conditional
2021-22,2021-11-04-BUF-NYI,2021-11-04,BUF / NYI,BUF,Player,Johnny Boychuk,RD,
2021-22,2021-11-04-BUF-NYI,2021-11-04,BUF / NYI,NYI,Other,Future Considerations,,
2021-22,2021-10-24-SJS-OTT,2021-10-24,SJS / OTT,SJS,Draft Pick,2022 7th Round,,
2021-22,2021-10-24-SJS-OTT,2021-10-24,SJS / OTT,OTT,Player,Dylan Gambrell,C,
2021-22,2021-10-10-VAN-FLA,2021-10-10,VAN / FLA,VAN,Player,Juho Lammikko,C,
2021-22,2021-10-10-VAN-FLA,2021-10-10,VAN / FLA,VAN,Player,Noah Juulsen,RD,
2021-22,2021-10-10-VAN-FLA,2021-10-10,VAN / FLA,FLA,Player,Olli Juolevi,LD,
2021-22,2021-09-25-STL-OTT,2021-09-25,STL / OTT,STL,Draft Pick,2022 4th Round,,conditional
2021-22,2021-09-25-STL-OTT,2021-09-25,STL / OTT,STL,Player,Logan Brown,C,
2021-22,2021-09-25-STL-OTT,2021-09-25,STL / OTT,OTT,Player,Zachary Sanford,C,
2021-22,2021-09-04-MTL-UTA,2021-09-04,MTL / UTA,MTL,Player,Christian Dvorak,C,
2021-22,2021-09-04-MTL-UTA,2021-09-04,MTL / UTA,UTA,Draft Pick,2022 1st Round,,conditional
2021-22,2021-09-04-MTL-UTA,2021-09-04,MTL / UTA,UTA,Draft Pick,2024 2nd Round,,
2021-22,2021-07-31-VAN-TBL,2021-07-31,VAN / TBL,VAN,Player,Spencer Martin,G,
2021-22,2021-07-31-VAN-TBL,2021-07-31,VAN / TBL,TBL,Other,Future Considerations,,
2021-22,2021-07-30-DET-TBL,2021-07-30,DET / TBL,DET,Player,Mitchell Stephens,C,
2021-22,2021-07-30-DET-TBL,2021-07-30,DET / TBL,TBL,Draft Pick,2022 6th Round,,
2021-22,2021-07-29-NYR-VGK,2021-07-29,NYR / VGK,NYR,Player,Ryan Reaves,RW,
2021-22,2021-07-29-NYR-VGK,2021-07-29,NYR / VGK,VGK,Draft Pick,2022 3rd Round,,
2021-22,2021-07-28-WSH-SEA,2021-07-28,WSH / SEA,WSH,Player,Vitek Vanecek,G,
2021-22,2021-07-28-WSH-SEA,2021-07-28,WSH / SEA,SEA,Draft Pick,2023 2nd Round,,
2021-22,2021-07-28-TOR-MIN,2021-07-28,TOR / MIN,TOR,Player,Brennan Menell,RD,
2021-22,2021-07-28-TOR-MIN,2021-07-28,TOR / MIN,MIN,Draft Pick,2022 7th Round,,conditional
2021-22,2021-07-28-SJS-UTA,2021-07-28,SJS / UTA,SJS,Player,Lane Pederson,C,
2021-22,2021-07-28-SJS-UTA,2021-07-28,SJS / UTA,UTA,Draft Pick,2024 4th Round,,
2021-22,2021-07-28-OTT-VGK,2021-07-28,OTT / VGK,OTT,Draft Pick,2022 3rd Round,,
2021-22,2021-07-28-OTT-VGK,2021-07-28,OTT / VGK,OTT,Player,Nick Holden,LD,
2021-22,2021-07-28-OTT-VGK,2021-07-28,OTT / VGK,VGK,Player,Evgenii Dadonov,LW,
2021-22,2021-07-28-EDM-CAR,2021-07-28,EDM / CAR,EDM,Player,Warren Foegele,LW,
2021-22,2021-07-28-EDM-CAR,2021-07-28,EDM / CAR,CAR,Player,Ethan Bear,RD,
2021-22,2021-07-28-COL-UTA,2021-07-28,COL / UTA,COL,Player,Darcy Kuemper,G,22.22222222222222% retained
2021-22,2021-07-28-COL-UTA,2021-07-28,COL / UTA,UTA,Draft Pick,2024 3rd Round,,conditional
2021-22,2021-07-28-COL-UTA,2021-07-28,COL / UTA,UTA,Draft Pick,2022 1st Round,,conditional
2021-22,2021-07-28-COL-UTA,2021-07-28,COL / UTA,UTA,Player,Conor Timmins,RD,
2021-22,2021-07-28-BUF-NJD,2021-07-28,BUF / NJD,BUF,Draft Pick,2022 5th Round,,
2021-22,2021-07-28-BUF-NJD,2021-07-28,BUF / NJD,BUF,Player,Will Butcher,LD,24.39024324912886% retained
2021-22,2021-07-28-BUF-NJD,2021-07-28,BUF / NJD,NJD,Other,Future Considerations,,
2021-22,2021-07-28-CHI-CGY,2021-07-28,CHI / CGY,CHI,Draft Pick,2022 3rd Round,,
2021-22,2021-07-28-CHI-CGY,2021-07-28,CHI / CGY,CGY,Player,Nikita Zadorov,LD,
2021-22,2021-07-28-BOS-CGY,2021-07-28,BOS / CGY,BOS,Draft Pick,2022 3rd Round,,
2021-22,2021-07-28-BOS-CGY,2021-07-28,BOS / CGY,CGY,Player,Dan Vladar,G,
2021-22,2021-07-27-VAN-WPG,2021-07-27,VAN / WPG,VAN,Draft Pick,2022 3rd Round,,
2021-22,2021-07-27-VAN-WPG,2021-07-27,VAN / WPG,WPG,Player,Nate Schmidt,LD,
2021-22,2021-07-27-COL-SEA,2021-07-27,COL / SEA,COL,Player,Kurtis MacDermid,LW,
2021-22,2021-07-27-COL-SEA,2021-07-27,COL / SEA,SEA,Draft Pick,2023 4th Round,,
2021-22,2021-07-27-CHI-VGK,2021-07-27,CHI / VGK,CHI,Player,Marc-André Fleury,,
2021-22,2021-07-27-CHI-VGK,2021-07-27,CHI / VGK,VGK,Player,Mikael Hakkarainen,C,
2021-22,2021-07-27-CHI-TBL,2021-07-27,CHI / TBL,CHI,Player,Tyler Johnson,LW,
2021-22,2021-07-27-CHI-TBL,2021-07-27,CHI / TBL,CHI,Draft Pick,2023 2nd Round,,
2021-22,2021-07-27-CHI-TBL,2021-07-27,CHI / TBL,TBL,Player,Brent Seabrook,RD,
2021-22,2021-07-26-WSH-WPG,2021-07-26,WSH / WPG,WSH,Draft Pick,2022 2nd Round,,
2021-22,2021-07-26-WSH-WPG,2021-07-26,WSH / WPG,WSH,Draft Pick,2023 2nd Round,,
2021-22,2021-07-26-WSH-WPG,2021-07-26,WSH / WPG,WPG,Player,Brenden Dillon,LD,
2021-22,2021-07-26-TOR-BOS,2021-07-26,TOR / BOS,TOR,Other,Future Considerations,,
2021-22,2021-07-26-TOR-BOS,2021-07-26,TOR / BOS,BOS,Player,James Greenway,LD,
2021-22,2021-07-26-NJD-SJS,2021-07-26,NJD / SJS,NJD,Player,Christian Jaros,RD,
2021-22,2021-07-26-NJD-SJS,2021-07-26,NJD / SJS,SJS,Player,Nick Merkley,RW,
2021-22,2021-07-26-FLA-UTA,2021-07-26,FLA / UTA,FLA,Draft Pick,2023 7th Round,,
2021-22,2021-07-26-FLA-UTA,2021-07-26,FLA / UTA,UTA,Draft Pick,2024 2nd Round,,
2021-22,2021-07-26-FLA-UTA,2021-07-26,FLA / UTA,UTA,Player,Vladislav Kolyachonok,LD,
2021-22,2021-07-26-FLA-UTA,2021-07-26,FLA / UTA,UTA,Player,Anton Stralman,RD,
2021-22,2021-07-24-MTL-UTA,2021-07-24,MTL / UTA,MTL,Draft Pick,2022 7th Round,,
2021-22,2021-07-24-MTL-UTA,2021-07-24,MTL / UTA,UTA,Draft Pick,2021 7th Round,,
2021-22,2021-07-24-MTL-TBL,2021-07-24,MTL / TBL,MTL,Draft Pick,2022 4th Round,,
2021-22,2021-07-24-MTL-TBL,2021-07-24,MTL / TBL,TBL,Draft Pick,2021 4th Round,,
2021-22,2021-07-24-MTL-MIN,2021-07-24,MTL / MIN,MTL,Draft Pick,2021 7th Round,,
2021-22,2021-07-24-MTL-MIN,2021-07-24,MTL / MIN,MTL,Draft Pick,2021 5th Round,,
2021-22,2021-07-24-MTL-MIN,2021-07-24,MTL / MIN,MIN,Draft Pick,2021 4th Round,,
2021-22,2021-07-24-BUF-FLA,2021-07-24,BUF / FLA,BUF,Player,Devon Levi,G,
2021-22,2021-07-24-BUF-FLA,2021-07-24,BUF / FLA,BUF,Draft Pick,2022 1st Round,,conditional
2021-22,2021-07-24-BUF-FLA,2021-07-24,BUF / FLA,FLA,Player,Sam Reinhart,RW,
2021-22,2021-07-24-PHI-CBJ,2021-07-24,PHI / CBJ,PHI,Player,Cam Atkinson,RW,
2021-22,2021-07-24-PHI-CBJ,2021-07-24,PHI / CBJ,CBJ,Player,Jakub Voracek,RW,
2021-22,2021-07-24-NYR-WSH,2021-07-24,NYR / WSH,NYR,Draft Pick,2021 3rd Round,,
2021-22,2021-07-24-NYR-WSH,2021-07-24,NYR / WSH,WSH,Draft Pick,2021 3rd Round,,
2021-22,2021-07-24-NYR-WSH,2021-07-24,NYR / WSH,WSH,Draft Pick,2021 6th Round,,
2021-22,2021-07-24-MTL-ANA,2021-07-24,MTL / ANA,MTL,Draft Pick,2022 3rd Round,,
2021-22,2021-07-24-MTL-ANA,2021-07-24,MTL / ANA,ANA,Draft Pick,2021 3rd Round,,
2021-22,2021-07-24-LAK-UTA,2021-07-24,LAK / UTA,LAK,Player,Brayden Burke,LW,
2021-22,2021-07-24-LAK-UTA,2021-07-24,LAK / UTA,LAK,Player,Tyler Steenbergen,C,
2021-22,2021-07-24-LAK-UTA,2021-07-24,LAK / UTA,UTA,Player,Bokondji Imama,RW,
2021-22,2021-07-24-LAK-UTA,2021-07-24,LAK / UTA,UTA,Player,Cole Hults,LD,
2021-22,2021-07-24-LAK-OTT,2021-07-24,LAK / OTT,LAK,Draft Pick,2021 2nd Round,,
2021-22,2021-07-24-LAK-OTT,2021-07-24,LAK / OTT,OTT,Draft Pick,2021 2nd Round,,
2021-22,2021-07-24-LAK-OTT,2021-07-24,LAK / OTT,OTT,Draft Pick,2021 5th Round,,
2021-22,2021-07-24-LAK-CGY,2021-07-24,LAK / CGY,LAK,Draft Pick,2021 3rd Round,,
2021-22,2021-07-24-LAK-CGY,2021-07-24,LAK / CGY,CGY,Draft Pick,2021 3rd Round,,
2021-22,2021-07-24-LAK-CGY,2021-07-24,LAK / CGY,CGY,Draft Pick,2021 6th Round,,
2021-22,2021-07-24-LAK-CAR,2021-07-24,LAK / CAR,LAK,Draft Pick,2021 2nd Round,,
2021-22,2021-07-24-LAK-CAR,2021-07-24,LAK / CAR,CAR,Draft Pick,2021 4th Round,,
2021-22,2021-07-24-LAK-CAR,2021-07-24,LAK / CAR,CAR,Draft Pick,2021 3rd Round,,
2021-22,2021-07-24-DET-VGK,2021-07-24,DET / VGK,DET,Draft Pick,2021 5th Round,,
2021-22,2021-07-24-DET-VGK,2021-07-24,DET / VGK,DET,Draft Pick,2021 4th Round,,
2021-22,2021-07-24-DET-VGK,2021-07-24,DET / VGK,VGK,Draft Pick,2021 4th Round,,
2021-22,2021-07-24-CHI-CAR,2021-07-24,CHI / CAR,CHI,Draft Pick,2021 3rd Round,,
2021-22,2021-07-24-CHI-CAR,2021-07-24,CHI / CAR,CAR,Draft Pick,2022 3rd Round,,
2021-22,2021-07-24-CAR-OTT,2021-07-24,CAR / OTT,CAR,Draft Pick,2021 6th Round,,
2021-22,2021-07-24-CAR-OTT,2021-07-24,CAR / OTT,CAR,Draft Pick,2021 5th Round,,
2021-22,2021-07-24-CAR-OTT,2021-07-24,CAR / OTT,OTT,Draft Pick,2021 4th Round,,
2021-22,2021-07-24-CAR-NSH,2021-07-24,CAR / NSH,CAR,Draft Pick,2021 5th Round,,
2021-22,2021-07-24-CAR-NSH,2021-07-24,CAR / NSH,CAR,Draft Pick,2021 3rd Round,,
2021-22,2021-07-24-CAR-NSH,2021-07-24,CAR / NSH,NSH,Draft Pick,2021 3rd Round,,
2021-22,2021-07-24-STL-SJS,2021-07-24,STL / SJS,STL,Draft Pick,2021 3rd Round,,
2021-22,2021-07-24-STL-SJS,2021-07-24,STL / SJS,SJS,Draft Pick,2021 6th Round,,
2021-22,2021-07-24-STL-SJS,2021-07-24,STL / SJS,SJS,Draft Pick,2021 3rd Round,,
2021-22,2021-07-23-VAN-UTA,2021-07-23,VAN / UTA,VAN,Player,Conor Garland,RW,
2021-22,2021-07-23-VAN-UTA,2021-07-23,VAN / UTA,VAN,Player,Oliver Ekman-Larsson,RD,12% retained
2021-22,2021-07-23-VAN-UTA,2021-07-23,VAN / UTA,UTA,Draft Pick,2022 2nd Round,,
2021-22,2021-07-23-VAN-UTA,2021-07-23,VAN / UTA,UTA,Draft Pick,2023 7th Round,,
2021-22,2021-07-23-VAN-UTA,2021-07-23,VAN / UTA,UTA,Draft Pick,2021 1st Round,,
2021-22,2021-07-23-VAN-UTA,2021-07-23,VAN / UTA,UTA,Player,Antoine Roussel,LW,
2021-22,2021-07-23-VAN-UTA,2021-07-23,VAN / UTA,UTA,Player,Loui Eriksson,LW,
2021-22,2021-07-23-VAN-UTA,2021-07-23,VAN / UTA,UTA,Player,Jay Beagle,C,
2021-22,2021-07-23-PHI-BUF,2021-07-23,PHI / BUF,PHI,Player,Rasmus Ristolainen,RD,
2021-22,2021-07-23-PHI-BUF,2021-07-23,PHI / BUF,BUF,Draft Pick,2023 2nd Round,,
2021-22,2021-07-23-PHI-BUF,2021-07-23,PHI / BUF,BUF,Draft Pick,2021 1st Round,,
2021-22,2021-07-23-PHI-BUF,2021-07-23,PHI / BUF,BUF,Player,Robert Hagg,LD,
2021-22,2021-07-23-NYR-STL,2021-07-23,NYR / STL,NYR,Player,Samuel Blais,LW,
2021-22,2021-07-23-NYR-STL,2021-07-23,NYR / STL,NYR,Draft Pick,2022 2nd Round,,
2021-22,2021-07-23-NYR-STL,2021-07-23,NYR / STL,STL,Player,Pavel Buchnevich,LW,
2021-22,2021-07-23-EDM-MIN,2021-07-23,EDM / MIN,EDM,Draft Pick,2021 3rd Round,,
2021-22,2021-07-23-EDM-MIN,2021-07-23,EDM / MIN,EDM,Draft Pick,2021 1st Round,,
2021-22,2021-07-23-EDM-MIN,2021-07-23,EDM / MIN,MIN,Draft Pick,2021 1st Round,,
2021-22,2021-07-23-DET-DAL,2021-07-23,DET / DAL,DET,Draft Pick,2021 1st Round,,
2021-22,2021-07-23-DET-DAL,2021-07-23,DET / DAL,DAL,Draft Pick,2021 5th Round,,
2021-22,2021-07-23-DET-DAL,2021-07-23,DET / DAL,DAL,Draft Pick,2021 1st Round,,
2021-22,2021-07-23-DET-DAL,2021-07-23,DET / DAL,DAL,Draft Pick,2021 2nd Round,,
2021-22,2021-07-23-CHI-CBJ,2021-07-23,CHI / CBJ,CHI,Draft Pick,2021 1st Round,,
2021-22,2021-07-23-CHI-CBJ,2021-07-23,CHI / CBJ,CHI,Player,Seth Jones,RD,
2021-22,2021-07-23-CHI-CBJ,2021-07-23,CHI / CBJ,CHI,Draft Pick,2022 6th Round,,
2021-22,2021-07-23-CHI-CBJ,2021-07-23,CHI / CBJ,CBJ,Draft Pick,2021 2nd Round,,
2021-22,2021-07-23-CHI-CBJ,2021-07-23,CHI / CBJ,CBJ,Draft Pick,2022 1st Round,,conditional
2021-22,2021-07-23-CHI-CBJ,2021-07-23,CHI / CBJ,CBJ,Player,Adam Boqvist,LD,
2021-22,2021-07-23-CHI-CBJ,2021-07-23,CHI / CBJ,CBJ,Draft Pick,2021 1st Round,,
2021-22,2021-07-23-CAR-NSH,2021-07-23,CAR / NSH,CAR,Draft Pick,2021 2nd Round,,
2021-22,2021-07-23-CAR-NSH,2021-07-23,CAR / NSH,CAR,Draft Pick,2021 2nd Round,,
2021-22,2021-07-23-CAR-NSH,2021-07-23,CAR / NSH,NSH,Draft Pick,2021 1st Round,,
