PLAYERS,TEAM,POS,AGE,CAP HIT,TOTAL,AAV,TERM,SIGN. STATUS,SIGN. AGE,EXPIRY,CONTRACT START,EXPIRY YEAR,WAIVERS EXEMPT,SIGNED BY,BASE SALARY,SIGNING BONUS,PERF BONUS,TYPE
"Jarry, Tristan",EDM,G,31,"$5,375,000","$4,125,000","$5,375,000",5 yrs,UFA,28,UFA,2023,2028,No,Kyle Dubas,"$1,125,000","$3,000,000",$0,Std
"Bahl, Kevin",CGY,LD,25,"$5,350,000","$5,350,000","$5,350,000",6 yrs,RFA (Arb),25,UFA,2025,2031,No,Craig Conroy,"$5,350,000",$0,$0,Std (Ext)
"Larsson, Adam",SEA,RD,33,"$5,250,000","$5,000,000","$5,250,000",4 yrs,UFA,31,UFA,2025,2029,No,Ron Francis,"$5,000,000",$0,$0,Std (Ext)
"Marchand, Brad",FLA,"RW, LW",38,"$5,250,000","$6,000,000","$5,250,000",6 yrs,UFA,37,UFA,2025,2031,No,Bill Zito,"$1,000,000","$5,000,000",$0,Std (Ext)
"Kuemper, Darcy",LAK,G,36,"$5,250,000","$3,750,000","$5,250,000",5 yrs,UFA,32,UFA,2022,2027,No,Brian MacLellan,"$1,750,000","$2,000,000",$0,Std
"Lindell, Esa",DAL,LD,32,"$5,250,000","$6,500,000","$5,250,000",5 yrs,UFA,30,UFA,2025,2030,No,Jim Nill,"$4,000,000","$2,500,000",$0,Std (2-way)
"Eriksson Ek, Joel",MIN,C,29,"$5,250,000","$6,000,000","$5,250,000",8 yrs,RFA (Arb),24,UFA,2021,2029,No,Bill Guerin,"$6,000,000",$0,$0,Std (Ext)
"Blackwood, Mackenzie",COL,G,29,"$5,250,000","$5,250,000","$5,250,000",5 yrs,UFA,28,UFA,2025,2030,No,Chris MacFarland,"$4,250,000","$1,000,000",$0,Std (Ext)
"Cernak, Erik",TBL,RD,29,"$5,200,000","$5,096,000","$5,200,000",8 yrs,RFA (Arb),25,UFA,2023,2031,No,Julien BriseBois,"$5,096,000",$0,$0,Std (Ext)
"York, Cam",PHI,"LD, RD",25,"$5,150,000","$5,150,000","$5,150,000",5 yrs,RFA (Arb),24,UFA,2025,2030,No,Daniel Brière,"$3,150,000","$2,000,000",$0,Std (Ext)
"Dvorak, Christian",PHI,C,30,"$5,150,000","$6,000,000","$5,150,000",5 yrs,UFA,29,UFA,2026,2031,No,Daniel Brière,"$3,000,000","$3,000,000",$0,Std (Ext)
"Rust, Bryan",PIT,RW,34,"$5,125,000","$3,660,000","$5,125,000",6 yrs,UFA,30,UFA,2022,2028,No,Ron Hextall,"$3,660,000",$0,$0,Std (Ext)
"Nugent-Hopkins, Ryan",EDM,"LW, C",33,"$5,125,000","$4,750,000","$5,125,000",8 yrs,UFA,28,UFA,2021,2029,No,Ken Holland,"$2,250,000","$2,500,000",$0,Std (Ext)
"Blake, Jackson",CAR,RW,22,"$5,117,002","$7,500,000","$5,117,002",8 yrs,RFA,21,UFA,2026,2034,No,Eric Tulsky,"$1,000,000","$6,500,000",$0,Std (Ext)
"Compher, J.T.",DET,"C, LW",31,"$5,100,000","$4,700,000","$5,100,000",5 yrs,UFA,28,UFA,2023,2028,No,Steve Yzerman,"$4,700,000",$0,$0,Std
"Ristolainen, Rasmus",PHI,RD,31,"$5,100,000","$4,000,000","$5,100,000",5 yrs,UFA,27,UFA,2022,2027,No,Chuck Fletcher,"$4,000,000",$0,$0,Std (Ext)
"Lowry, Adam",WPG,C,33,"$5,000,000","$5,700,000","$5,000,000",5 yrs,UFA,32,UFA,2026,2031,No,Kevin Cheveldayoff,"$2,850,000","$2,850,000",$0,Std (Ext)
"Lundell, Anton",FLA,C,24,"$5,000,000","$5,900,000","$5,000,000",6 yrs,RFA,22,UFA,2024,2030,No,Bill Zito,"$5,900,000",$0,$0,Std
"Strome, Dylan",WSH,C,29,"$5,000,000","$4,000,000","$5,000,000",5 yrs,RFA (Arb),25,UFA,2023,2028,No,Brian MacLellan,"$2,000,000","$2,000,000",$0,Std (Ext)
"Barbashev, Ivan",VGK,LW,30,"$5,000,000","$4,200,000","$5,000,000",5 yrs,UFA,27,UFA,2023,2028,No,Kelly McCrimmon,"$4,200,000",$0,$0,Std (Ext)
"McCann, Jared",SEA,"LW, RW",30,"$5,000,000","$4,250,000","$5,000,000",5 yrs,RFA (Arb),25,UFA,2022,2027,No,Ron Francis,"$4,250,000",$0,$0,Std (Ext)
"Farabee, Joel",CGY,"RW, LW",26,"$5,000,000","$6,000,000","$5,000,000",6 yrs,RFA,21,UFA,2022,2028,No,Chuck Fletcher,"$6,000,000",$0,$0,Std (Ext)
"Daccord, Joey",SEA,G,29,"$5,000,000","$5,000,000","$5,000,000",5 yrs,UFA,28,UFA,2025,2030,No,Ron Francis,"$5,000,000",$0,$0,Std (Ext)
"Rossi, Marco",VAN,C,24,"$5,000,000","$5,000,000","$5,000,000",3 yrs,RFA,23,RFA (Arb),2025,2028,No,Bill Guerin,"$5,000,000",$0,$0,Std (Ext)
"Zadorov, Nikita",BOS,LD,31,"$5,000,000","$5,500,000","$5,000,000",6 yrs,UFA,29,UFA,2024,2030,No,Don Sweeney,"$4,500,000","$1,000,000",$0,Std
"Mikkola, Niko",FLA,LD,30,"$5,000,000","$6,500,000","$5,000,000",8 yrs,UFA,29,UFA,2026,2034,No,Bill Zito,"$1,000,000","$5,500,000",$0,Std (Ext)
"Rakell, Rickard",PIT,"LW, C, RW",33,"$5,000,000","$3,600,000","$5,000,000",6 yrs,UFA,29,UFA,2022,2028,No,Ron Hextall,"$3,600,000",$0,$0,Std (Ext)
"McLeod, Ryan",BUF,C,26,"$5,000,000","$5,000,000","$5,000,000",4 yrs,RFA (Arb),25,UFA,2025,2029,No,Kevyn Adams,"$5,000,000",$0,$0,Std (Ext)
"Strome, Ryan",CGY,"C, RW",32,"$5,000,000","$5,000,000","$5,000,000",5 yrs,UFA,29,UFA,2022,2027,No,Pat Verbeek,"$5,000,000",$0,$0,Std
"Girard, Samuel",PIT,"LD, RD",28,"$5,000,000","$5,000,000","$5,000,000",7 yrs,RFA,21,UFA,2020,2027,No,Joe Sakic,"$5,000,000",$0,$0,Std (Ext)
"Batherson, Drake",OTT,"RW, LW",28,"$4,975,000","$6,550,000","$4,975,000",6 yrs,RFA,23,UFA,2021,2027,No,Pierre Dorion,"$6,550,000",$0,$0,Std
"Coleman, Blake",CGY,"RW, LW",34,"$4,900,000","$4,900,000","$4,900,000",6 yrs,UFA,29,UFA,2021,2027,No,Brad Treliving,"$4,900,000",$0,$0,Std
"DeMelo, Dylan",WPG,RD,33,"$4,900,000","$5,000,000","$4,900,000",4 yrs,UFA,31,UFA,2024,2028,No,Kevin Cheveldayoff,"$5,000,000",$0,$0,Std (Ext)
"Pageau, Jean-Gabriel",NYI,C,33,"$4,850,000","$4,850,000","$4,850,000",3 yrs,UFA,33,UFA,2026,2029,No,Mathieu Darche,"$4,850,000",$0,$0,Std (Ext)
