rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
50,Nathan Walker,STL,F,lo,27,0.215,85.0,2.41,3.52
51,Auston Matthews,TOR,F,mid,42,0.215,87.0,3.02,2.75
52,Jeff Malott,LAK,F,lo,26,0.2145,84.0,2.35,2.97
53,Owen Tippett,PHI,F,hi,52,0.2144,85.0,2.34,2.72
54,Oskar Sundqvist,STL,F,lo,35,0.2144,83.0,2.6,3.98
55,Brady Tkachuk,OTT,F,lo,35,0.2143,82.0,2.24,2.72
56,Mathew Barzal,NYI,F,hi,51,0.2142,84.0,2.95,2.33
57,Nathan MacKinnon,COL,F,hi,51,0.2142,83.0,2.79,1.92
58,Casey Mittelstadt,BOS,F,mid,39,0.2141,86.0,2.8,2.51
59,Justin Brazeau,PIT,F,lo,32,0.214,81.0,2.73,2.72
60,Adam Gaudette,SJS,F,lo,27,0.2136,80.0,2.67,3.0
61,Jonathan Marchessault,NSH,F,lo,43,0.2135,79.0,3.28,2.97
62,Brad Marchand,FLA,F,lo,41,0.2135,78.0,3.5,3.79
63,Mark Scheifele,WPG,F,hi,80,0.2134,82.0,2.98,3.25
64,Dylan Larkin,DET,F,hi,43,0.213,81.0,2.83,2.43
65,Jason Robertson,DAL,F,hi,38,0.213,80.0,2.57,1.9
66,Jason Zucker,BUF,F,lo,41,0.2129,77.0,2.91,2.6
67,Emmitt Finnie,DET,F,hi,42,0.2124,79.0,2.78,2.6
68,Eric Robinson,CAR,F,lo,26,0.212,76.0,2.35,1.93
69,Rickard Rakell,PIT,F,lo,40,0.212,75.0,2.83,2.6
70,Viktor Arvidsson,BOS,F,lo,30,0.2119,75.0,2.89,2.04
71,Valeri Nichushkin,COL,F,mid,44,0.2119,85.0,2.35,2.47
72,Frederick Gaudreau,SEA,F,mid,34,0.2118,84.0,2.91,2.25
73,Pontus Holmberg,TBL,F,mid,29,0.2118,83.0,2.07,2.14
74,Tyler Bertuzzi,CHI,F,hi,57,0.2117,78.0,3.15,2.94
75,Ross Johnston,ANA,F,lo,31,0.2116,74.0,2.68,2.51
76,Nick Paul,TBL,F,lo,32,0.2116,73.0,2.29,3.08
77,Evander Kane,VAN,F,mid,44,0.2116,82.0,3.38,3.1
78,Colton Sissons,VGK,F,lo,29,0.2116,72.0,2.28,2.1
79,Egor Chinakhov,PIT,F,lo,42,0.2114,71.0,2.82,2.57
80,Michael McCarron,NSH,F,mid,47,0.2114,81.0,2.47,2.75
81,Nick Lardis,CHI,F,lo,28,0.2112,70.0,3.08,4.08
82,Nikita Kucherov,TBL,F,hi,52,0.2111,77.0,2.78,2.59
83,Dakota Joshua,TOR,F,lo,25,0.2111,69.0,2.69,2.62
84,Matt Savoie,EDM,F,mid,46,0.211,80.0,2.9,2.72
85,Mason Appleton,DET,F,lo,27,0.2108,68.0,2.84,2.18
86,Ondrej Palat,NJD,F,mid,43,0.2108,79.0,2.72,3.06
87,Mikael Backlund,CGY,F,hi,36,0.2108,77.0,2.74,2.17
88,Zachary Bolduc,MTL,F,mid,45,0.2107,79.0,2.61,2.48
89,Morgan Frost,CGY,F,mid,43,0.2107,78.0,2.76,2.73
90,Phillip Danault,MTL,F,mid,42,0.2106,77.0,2.71,2.15
91,Alexander Wennberg,SJS,F,hi,58,0.2106,76.0,2.59,2.9
92,Peyton Krebs,BUF,F,hi,42,0.2105,75.0,2.67,2.35
93,Alexis Lafrenière,NYR,F,hi,48,0.2104,74.0,2.41,2.25
94,Ryan Leonard,WSH,F,mid,32,0.2104,76.0,3.08,1.92
95,Nicolas Roy,TOR,F,mid,42,0.2104,75.0,2.72,2.34
96,Matvei Michkov,PHI,F,mid,40,0.2102,74.0,2.23,2.48
97,Macklin Celebrini,SJS,F,hi,58,0.2102,73.0,2.89,2.56
98,Marcus Johansson,MIN,F,mid,38,0.2101,73.0,2.48,2.13
99,Jake DeBrusk,VAN,F,mid,45,0.21,72.0,3.1,3.09
100,Nic Dowd,WSH,F,mid,33,0.2098,71.0,2.52,1.88
101,Adam Fantilli,CBJ,F,hi,55,0.2098,72.0,2.74,2.87
102,Vasily Podkolzin,EDM,F,hi,47,0.2096,71.0,2.59,2.36
103,Taylor Hall,CAR,F,mid,51,0.2096,71.0,2.58,2.46
104,Frank Nazar,CHI,F,mid,43,0.2095,70.0,3.12,3.18
105,Matthew Wood,NSH,F,lo,33,0.2094,67.0,2.94,2.92
106,Tye Kartye,SEA,F,lo,32,0.2094,66.0,2.48,3.05
107,Tyson Jost,NSH,F,lo,36,0.2093,65.0,2.82,3.28
108,Ridly Greig,OTT,F,mid,45,0.2092,69.0,2.43,2.58
109,Josh Anderson,MTL,F,lo,44,0.209,65.0,2.86,2.82
110,Mathieu Joseph,STL,F,lo,25,0.209,64.0,2.08,2.34
111,Berkly Catton,SEA,F,lo,29,0.209,63.0,2.74,2.39
112,Martin Necas,COL,F,hi,48,0.209,70.0,2.78,1.89
113,Gabriel Vilardi,WPG,F,hi,69,0.2089,69.0,2.89,3.16
114,Jonathan Drouin,NYI,F,lo,28,0.2089,62.0,2.83,1.88
115,Marcus Foligno,MIN,F,lo,29,0.2089,61.0,2.46,2.51
116,Boone Jenner,CBJ,F,mid,34,0.2088,68.0,2.74,2.56
117,Fraser Minten,BOS,F,hi,29,0.2088,68.0,2.69,1.71
118,Nicholas Robertson,TOR,F,mid,39,0.2086,67.0,2.93,3.02
119,Gage Goncalves,TBL,F,mid,40,0.2086,66.0,2.19,2.45
120,Bo Horvat,NYI,F,mid,44,0.2086,65.0,3.1,2.62
121,Jack Roslovic,EDM,F,mid,53,0.2084,64.0,2.83,2.9
122,Mats Zuccarello,MIN,F,lo,45,0.2083,60.0,2.56,2.96
123,Colin Blackwell,DAL,F,lo,26,0.2082,59.0,2.27,2.21
124,Andrew Mangiapane,EDM,F,lo,37,0.2082,58.0,2.64,3.62
125,Kent Johnson,CBJ,F,lo,39,0.208,57.0,2.71,2.69
126,Luke Kunin,FLA,F,lo,25,0.208,56.0,2.58,2.83
127,Jonatan Berggren,STL,F,lo,28,0.2078,55.0,2.5,2.59
128,Jamie Benn,DAL,F,lo,26,0.2077,55.0,2.56,2.31
129,David Perron,OTT,F,lo,32,0.2077,54.0,1.97,2.67
130,Steven Stamkos,NSH,F,hi,49,0.2076,68.0,2.64,2.75
131,Tim Stützle,OTT,F,hi,54,0.2076,67.0,2.51,3.05
132,A.J. Greer,FLA,F,mid,38,0.2075,63.0,2.37,2.38
133,Matt Boldy,MIN,F,hi,39,0.2075,66.0,2.66,2.08
134,Morgan Geekie,BOS,F,hi,49,0.2074,65.0,2.91,2.41
135,Dylan Holloway,STL,F,mid,38,0.2074,62.0,2.55,2.71
136,Jordan Staal,CAR,F,mid,50,0.2072,62.0,2.49,2.62
137,Matthew Knies,TOR,F,hi,58,0.2072,64.0,3.12,3.19
138,Ryan Donato,CHI,F,hi,42,0.2068,63.0,2.87,2.73
139,Jackson Blake,CAR,F,hi,50,0.2066,62.0,2.49,2.25
140,Jimmy Snuggerud,STL,F,mid,35,0.2066,61.0,2.9,2.19
141,Drake Batherson,OTT,F,hi,44,0.2065,61.0,2.27,2.77
142,Mathieu Olivier,CBJ,F,lo,29,0.2065,53.0,2.38,1.89
143,Yanni Gourde,TBL,F,hi,40,0.2062,60.0,2.22,2.3
