rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
57,Brandt Clarke,LAK,D,mid,41,0.1936,59.0,2.42,2.31
58,Erik Karlsson,PIT,D,hi,77,0.1936,73.0,2.91,3.18
59,Johnathan Kovacevic,NJD,D,hi,42,0.1935,72.0,2.08,1.89
60,Ryan Graves,PIT,D,lo,36,0.1935,85.0,2.32,2.52
61,Matt Roy,WSH,D,mid,50,0.1935,57.0,2.5,2.46
62,Rasmus Dahlin,BUF,D,hi,52,0.1935,70.0,2.41,2.21
63,John Carlson,WSH,D,mid,50,0.1934,56.0,2.59,2.46
64,Scott Mayfield,NYI,D,lo,30,0.1933,83.0,2.55,1.89
65,Declan Chisholm,MIN,D,mid,38,0.1932,54.0,2.02,2.27
66,Esa Lindell,DAL,D,hi,58,0.1932,69.0,2.58,1.92
67,Kaiden Guhle,MTL,D,lo,48,0.1931,82.0,2.86,2.69
68,Connor Murphy,CHI,D,mid,46,0.193,53.0,2.64,2.52
69,Cody Ceci,SJS,D,hi,88,0.193,67.0,3.2,2.87
70,Ben Chiarot,DET,D,hi,69,0.1928,66.0,2.85,2.67
71,Adam Pelech,NYI,D,mid,41,0.1928,51.0,2.11,2.36
72,Olen Zellweger,ANA,D,lo,39,0.1928,80.0,2.92,2.17
73,Samuel Girard,COL,D,hi,63,0.1927,64.0,2.4,2.79
74,Brandon Montour,SEA,D,hi,69,0.1927,63.0,2.63,2.75
75,Nolan Allan,CHI,D,lo,27,0.1927,79.0,3.03,3.4
76,Erik Gustafsson,DET,D,lo,40,0.1925,77.0,2.38,2.74
77,Connor Clifton,BUF,D,lo,40,0.1925,76.0,2.78,3.14
78,Josh Morrissey,WPG,D,hi,54,0.1925,61.0,2.32,1.72
79,Nick Jensen,OTT,D,mid,47,0.1924,50.0,2.57,2.26
80,Neal Pionk,WPG,D,mid,44,0.1923,49.0,2.33,1.79
81,Brent Burns,CAR,D,mid,66,0.1923,47.0,2.53,2.73
