rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
58,Ryan Graves,PIT,D,lo,36,0.0026,85.0,2.32,2.52
59,Brandt Clarke,LAK,D,mid,41,0.0026,59.0,2.42,2.31
60,Declan Chisholm,MIN,D,mid,38,0.0025,57.0,2.02,2.27
61,Rasmus Dahlin,BUF,D,hi,52,0.0025,72.0,2.41,2.21
62,Matt Roy,WSH,D,mid,50,0.0024,56.0,2.5,2.46
63,John Carlson,WSH,D,mid,50,0.0022,54.0,2.59,2.46
64,Scott Mayfield,NYI,D,lo,30,0.0022,83.0,2.55,1.89
65,Erik Karlsson,PIT,D,hi,77,0.0021,70.0,2.91,3.18
66,Adam Pelech,NYI,D,mid,41,0.0021,53.0,2.11,2.36
67,Esa Lindell,DAL,D,hi,58,0.002,69.0,2.58,1.92
68,Connor Murphy,CHI,D,mid,46,0.0018,51.0,2.64,2.52
69,Samuel Girard,COL,D,hi,63,0.0018,67.0,2.4,2.79
70,Kaiden Guhle,MTL,D,lo,48,0.0017,82.0,2.86,2.69
71,Erik Gustafsson,DET,D,lo,40,0.0016,80.0,2.38,2.74
72,Josh Morrissey,WPG,D,hi,54,0.0016,66.0,2.32,1.72
73,Brandon Montour,SEA,D,hi,69,0.0016,64.0,2.63,2.75
74,Ben Chiarot,DET,D,hi,69,0.0015,63.0,2.85,2.67
75,Neal Pionk,WPG,D,mid,44,0.0014,50.0,2.33,1.79
76,Olen Zellweger,ANA,D,lo,39,0.0014,79.0,2.92,2.17
77,Nick Jensen,OTT,D,mid,47,0.0013,49.0,2.57,2.26
78,Cody Ceci,SJS,D,hi,88,0.0013,61.0,3.2,2.87
79,Nick Leddy,STL,D,lo,27,0.0013,77.0,2.33,2.31
80,Brent Burns,CAR,D,mid,66,0.0012,47.0,2.53,2.73
81,Connor Clifton,BUF,D,lo,40,0.0012,76.0,2.78,3.14
82,Nolan Allan,CHI,D,lo,27,0.0011,74.0,3.03,3.4
83,Rasmus Sandin,WSH,D,hi,57,0.0011,60.0,2.46,2.48
84,Filip Hronek,VAN,D,mid,47,0.001,46.0,2.39,2.6
85,MacKenzie Weegar,CGY,D,hi,43,0.0009,58.0,2.29,1.78
86,Mattias Ekholm,EDM,D,mid,56,0.0009,44.0,2.33,2.67
87,Matt Grzelcyk,PIT,D,hi,64,0.0009,57.0,2.74,2.78
88,Nicolas Hague,VGK,D,mid,43,0.0008,43.0,2.72,2.35
89,Braden Schneider,NYR,D,mid,50,0.0008,41.0,2.93,2.48
90,Timothy Liljegren,SJS,D,mid,57,0.0007,40.0,2.69,3.05
91,Dante Fabbro,CBJ,D,mid,46,0.0006,38.0,2.52,2.4
